id	IDSendungname	Länge	Serie	Sendezeit	Titel	Description	Sender	MO	DI	MI	DO	FR	SA	SO	Filename	Bild
1	Lernmeditation	00:28:30	MED	31.08.2026 00:00:00	Atem ist Leben - eine Meditation, um zu lernen	Meditation zur Verinnerlichung für ein bewusstes Leben, gegeben von Gabriele	SNJ	False	False	False	False	False	False	False	DE_MED_MedUmZuLernen_NeuAltErsetzen_16zu9.mpg	Lernmeditation.JPG
5	SterbenLeben 01	00:18:00	LES	31.08.2026 00:35:00	Das Leben und Sterben, um weiterzuleben - Teil 1	Jetzt aber ist genug! Jeder stirbt für sich allein - wie? Lesung aus dem gleichnamigen Buch (Teil 1 von 2)	SNJ	False	False	False	False	False	False	False	DE_LES_SterbenLebenUSterben01_16zu9.mpg	SterbenSerie.jpg
13	InnereAndacht 20 A	01:00:00	MED	31.08.2026 01:00:00	Innere Andacht	Gewinne inneres Glück durch das Bewusstsein: GOTT ist gegenwärtig. Er ist in allem. Originalaufzeichnung aus der Schulungsreihe "Die großen kosmischen Lehren des Jesus von Nazareth an Seine Apostel und Jünger, die es fassen konnten", Folge 20	SNJ	False	False	False	False	False	False	False	DE_MED_InnereAndacht_20_NeuAltErsetzen2_16zu9.mpg	InnereAndacht.jpg
19	GemeindeWeinAug26	01:41:30	GR-ALLG	31.08.2026 02:15:00	Urchristliches Gemeindetreffen am Weinberg auf dem Christus-Jesaja-Land	im August 2026, dem Jahr 3 des messianischen, sophianischen Zeitalters 	SNJ	False	False	False	False	False	False	False	DE_SON_GemeindeWeinAug26__2607s09v1ogDE.mpg	GemeindeWeinAug26.jpg
21	Urlicht 01 A	00:56:30	MED	31.08.2026 04:00:30	Das Ur-Licht für alle Menschen	Heilmeditation mit dem Thema: Entwickle die Selbstheilungskräfte. Heile Dich mit der Christus-Gottes-Kraft, gegeben von Gabriele, der Prophetin und Botschafterin des Ewigen Reiches, Folge 1: Aktiviere das Ur-Licht, die Christus-Gottes-Kraft, in Deiner Seele und in Deinem Körper 	SNJ	False	False	False	False	False	False	False	DE_MED_Urlicht_01_NAE_16zu9.mpg	Urlicht.jpg
25	Blühstreifen	00:17:00	REP	31.08.2026 05:05:00	Eine neue Landwirtschaft für die Neue Zeit - Blühende Felder	Blühstreifen - blühende Felder voller Leben! Eine Landwirtschaft im Einklang mit der Natur. Dokumentation	SNJ	False	False	False	False	False	False	False	DE_DOK_LandBluehstreifen_NAE2_16zu9.mpg	Landwirtschaft.jpg
33	Nachruhm	00:24:30	LES	31.08.2026 05:30:00	Nachruhm	Lesung einer Tiergeschichte von Manfred Kyber 	SNJ	False	False	False	False	False	False	False	DE_LES_Nachruhm2024_16zu9.mpg	NachruhmNEU.jpg
39	IhreGedanken 16 1Mo	00:15:00	MED-TAG	31.08.2026 06:00:00	Ihre Gedanken sind Ihr Tag	Gott möchte für uns das Beste. Meditation am Morgen für einen guten Tag, von Gabriele	SNJ	False	False	False	False	False	False	False	DE_GH_KW_16_Montag001_NeuAltErsetzen_16zu9.mpg	IhreGedanken.jpg
44	Medikurs1 01	00:21:00	MED	31.08.2026 06:20:00	Urchristlich Meditieren	Mein Ursprung ist Geist. Meditation aus dem Geiste Gottes, gegeben von Gabriele. Zwölfteiliger erster Schulungszyklus, Teil1 von 12	SNJ	False	False	False	False	False	False	False	DE_MED_Kurs1MeinUrsprung_001_NeuAltErsetzen_16zu9.mpg	Medikurs.JPG
51	LernenHineinfühlen	00:28:00	MED	31.08.2026 06:50:30	Lernen wir, uns in unseren Nächsten hineinzufühlen	Meditation zur Verinnerlichung für ein bewusstes Leben, gegeben von Gabriele	SNJ	False	False	False	False	False	False	False	DE_MED_CHLernenHineinfuehlen_NEU_16zu9.mpg	LernenHineinfühlen.jpg
56	FGE VerbindeSei 07 ABB	00:06:00	GR-ALLG	31.08.2026 07:30:30	Die Bergpredigt - der Weg zu einem erfüllten Leben & Die grossen kosmischen Lehren	Kurzsendung unter dem Motto "Wir sind die Freien Gemeinschaften – verbinde und sei" (7)	SNJ	False	False	False	False	False	False	False	DE_FGE_Les_07Bergpredigt_NEU._16zu9.mpg	FGE VerbindeSei.jpg
59	IhreGedanken 16 1Mo	00:15:00	MED-TAG	31.08.2026 07:40:00	Ihre Gedanken sind Ihr Tag	Gott möchte für uns das Beste. Meditation am Morgen für einen guten Tag, von Gabriele	SNJ	False	False	False	False	False	False	False	DE_GH_KW_16_Montag001_NeuAltErsetzen_16zu9.mpg	IhreGedanken.jpg
65	SchuleLeben 23 A	00:21:30	GR-LEB	31.08.2026 08:00:30	Die wahre Schule ist das Leben (23)	Das Gesetz der Entsprechung. Lehrstunden aus der göttlichen Weisheit 	SNJ	False	False	False	False	False	False	False	DE_DWS_23GesetzEntsprechung_16zu9.mpg	SchuleLeben 02.jpg
70	TiereHierZuHause 02	00:21:00	REP	31.08.2026 08:30:00	"Wir sind hier zu Hause" (2) 	Tiere auf dem Land des Friedens, erleben Sie schöne Tier- und Naturaufnahmen	SNJ	False	False	False	False	False	False	False	DE_DOK_TiereHierZuHause_02_16zu9.mpg	TiereHierZuHause.jpg
74	MachtDerLiebe	01:12:00	LES	31.08.2026 09:00:00	Ich bete an die Macht der Liebe	Lesung einer Christus-Offenbarung aus dem Ewigen Reich durch die Prophetin und Botschafterin des Ewigen Reiches Gabriele im September 2021	SNJ	False	False	False	False	False	False	False	DE_LES_MachtDerLiebe_NAE1_NEU_16zu9.mpg	MachtDerLiebe.jpg
78	JederAtemzug	00:30:00	MED	31.08.2026 10:20:00	Jeder Atemzug ist Gottes Gegenwart	Meditation zur Verinnerlichung für ein bewusstes Leben, gegeben von Gabriele, der Prophetin und Botschafterin des Ewigen Reiches, am 19.03.2004.	SNJ	False	False	False	False	False	False	False	DE_MED_JederAtemzug_NeuAltErsetzen2_16zu9.mpg	JederAtemzug.JPG
88	Dämonenstaat 1 A	00:47:00	LES	31.08.2026 11:00:30	Der Dämonenstaat, seine Helfershelfer und seine Opfer (1)	Christus hat den Menschen das geistig Rüstzeug gegeben. Die Herkunft und das Wirken der Dämonen wird von Christus erklärt. Lesung einer Christus-Offenbarung, gegeben durch die Prophetin und Botschafterin des Ewigen Reiches Gabriele (Teil 1 von 3)	SNJ	False	False	False	False	False	False	False	DE_LES_Daemonenstaat_01_NAE_16zu9.mpg	Dämonenstaat.jpg
93	VerweileInDir	00:17:00	MED	31.08.2026 11:55:00	Verweile in dir - nütze den Tag	Meditation zur Verinnerlichung für ein bewusstes Leben, gegeben von Gabriele.	SNJ	False	False	False	False	False	False	False	DE_MED_VerweileInDir_NeuAltErsetzen2_16zu9.mpg	VerweileInDir.JPG
99	LassDichFühren 02 A	00:30:00	LES	31.08.2026 12:20:00	Die Neue Zeit - ein höheres Bewusstsein? Tue nichts Böses, dann widerfährt dir nichts Böses! Lass Dich führen!	"Tue nichts Böses, dann widerfährt dir nichts Böses!" Eine Lesung aus dem gleichnamigen Buch von Gabriele, der Prophetin und Botschafterin des Ewigen Reiches (Teil 2 von 4)	SNJ	False	False	False	False	False	False	False	DE_LES_LassDichfuehren_02_Neu_16zu9.mpg	LassDichführen.jpg
106	Gemeinschaften 02 A	00:09:00	GR-ALLG	31.08.2026 13:00:00	Die freien Gemeinschaften im Zeichen der Lilie	Was liegt in unseren Gefühlen, Empfindungen, Gedanken und Worten? Schulung aus dem Geist Gottes	SNJ	False	False	False	False	False	False	False	DE_FGE_Gemeinschaften_02_NAE2_TelZeit_16zu9.mpg	Gemeinschaften.jpg
112	Männerwelt 2 A	01:13:00	LILIE	31.08.2026 13:15:00	Die Männerwelt - gestern und heute (2)	Das Lilienzeitalter, das messianische, sophianische Zeitalter. Geistig-göttliche Lehren der Prophetin und Botschafterin des Ewigen Reiches Gabriele zum Thema: "Die drei Eigenschaften des Vater-Mutter-Gottes und die Kapitulation des Satanisten" Gegeben im Juli 2019	SNJ	False	False	False	False	False	False	False	DE_LILIE_Maennerwelt_02_16zu9.mpg	Maennerwelt.jpg
116	EsBlüht FrSo	00:24:00	MED	31.08.2026 14:35:00	Es blüht	Meditation mit einem gedanklichen Spaziergang durch eine Blumenwiese, gegeben von Gabriele.	SNJ	False	False	False	False	False	False	False	DE_MED_Esblueht_NeuAltErsetzen_16zu9.mpg	EsBlueht.jpg
122	Jugend International	00:28:00	GR-ALLG	31.08.2026 15:10:00	Junge internationale Freie Gemeinschaften weltweit	Interviews mit jungen Menschen aus aller Welt auf dem Weg zu Christus, zu Besuch in Deutschland 	SNJ	False	False	False	False	False	False	False	DE_FGE_JugOstern2025_NEU_16zu9.mpg	Jugend International.jpg
125	GemeindeWeinAug26	01:41:30	GR-ALLG	31.08.2026 15:45:00	Urchristliches Gemeindetreffen am Weinberg auf dem Christus-Jesaja-Land	im August 2026, dem Jahr 3 des messianischen, sophianischen Zeitalters 	SNJ	False	False	False	False	False	False	False	DE_SON_GemeindeWeinAug26__2607s09v1ogDE.mpg	GemeindeWeinAug26.jpg
127	Gabe Selbsthilfe	00:23:00	MED	31.08.2026 17:30:30	Eine Gabe zur Selbsthilfe - Wie nützt man den Tag, um im Alter auf ein erfülltes Leben zurückzublicken?	Meditation zur Verinnerlichung für ein bewusstes Leben, gegeben von Gabriele.	SNJ	False	False	False	False	False	False	False	DE_MED_GabeZurSelbsthilfe_16zu9.mpg	GabeSelbsthilfe.JPG
136	Besserwisser 2KiZ	00:12:00	KIND	31.08.2026 18:00:55	Sei kein Besserwisser	Lesung aus dem Buch von Liobani: Ich berate - nimmst du an? Die Schule für Neu Jerusalem, für eine andere Zeit im Zeichen des Christus Gottes der Gottes- und Nächstenliebe	SNJ	False	False	False	False	False	False	False	DE_LIOS_2KiZ-04Besserwisser_16zu9.mpg	Liobanischule.jpg
137	WirkenSchutzengel 2KiZ	00:15:30	KIND	31.08.2026 18:13:00	Das Zusammenwirken der Schutzengel und Naturgeister	Lesung aus dem Buch von Liobani: Ich berate - nimmst du an? Die Schule für Neu Jerusalem, für eine andere Zeit im Zeichen des Christus Gottes der Gottes- und Nächstenliebe	SNJ	False	False	False	False	False	False	False	DE_LIOS_2KiZ-03WirkenSchutzengel_16zu9.mpg	Liobanischule.jpg
138	Fähigkeiten 2KiZ	00:16:30	KIND	31.08.2026 18:28:30	Fähigkeiten, Talente, Qualitäten	Lesung aus dem Buch von Liobani: Ich berate - nimmst du an? Die Schule für Neu Jerusalem, für eine andere Zeit im Zeichen des Christus Gottes der Gottes- und Nächstenliebe	SNJ	False	False	False	False	False	False	False	DE_LIOS_2Kiz-08Faehigkeiten_16zu9.mpg	Liobanischule.jpg
147	ZehnGebote 2 A	00:20:30	LES	31.08.2026 19:00:00	Die Zehn Gebote Gottes durch Mose	Heute das dritte, vierte, fünfte und sechte Gebot. Eine Gesprächsrunde über die Zehn Gebote, wie sie für unsere Zeit von Gabriele ausgelegt und vertieft wurden (Teil 2 von 3)	SNJ	False	False	False	False	False	False	False	DE_LES_Die10Gebote2022_02_16zu9.mpg	ZehnGebote.jpg
152	Ruf 2 DieErscheinung	00:20:30	SON	31.08.2026 19:35:00	Der Ruf: Die Erscheinung (2)	Bebilderter Ruf von Gabriele, der Prophetin und Botschafterin des Ewigen Reiches: Die Erscheinung im messianischen, sophianischen Zeitalter, das neue Generationen widerspiegelt im Zeichen des Christus Gottes.	SNJ	False	False	False	False	False	False	False	DE_SON_DieErscheinung_NeuAltErsetzen3_16zu9.mpg	Ruf-2.jpg
155	UnsterblicherSeraph 01 A	00:51:00	GR-ALLG	31.08.2026 20:00:00	Der unsterbliche Seraph (1)	Erster Teil der Lesung aus dem Begleitbuch im messianischen, sophianischen Zeitalter zum ur-kosmischen Werk, dem Offenbarungs-Werk des Christus Gottes "Das ist Mein Wort. Alpha und Omega" 	SNJ	False	False	False	False	False	False	False	DE_SON_UnsterbSeraphGabriele_01_NAE3_16zu9.mpg	UnsterblicherSeraph.jpg
158	UnsterblicherSeraph 02 A	00:58:30	GR-ALLG	31.08.2026 20:55:00	Der unsterbliche Seraph (2)	Zweiter Teil der Lesung aus dem Begleitbuch im messianischen, sophianischen Zeitalter zum ur-kosmischen Werk, dem Offenbarungs-Werk des Christus Gottes "Das ist Mein Wort. Alpha und Omega" 	SNJ	False	False	False	False	False	False	False	DE_SON_UnsterbSeraphGabriele_02_NAE3_16zu9.mpg	UnsterblicherSeraph.jpg
163	InnereAndacht 03 A	00:55:30	MED	31.08.2026 22:00:00	Innere Andacht	Ein neues Menschentum in Christus entsteht. Originalaufzeichnung aus der Schulungsreihe "Die großen kosmischen Lehren des Jesus von Nazareth an Seine Apostel und Jünger, die es fassen konnten", Folge 3	SNJ	False	False	False	False	False	False	False	DE_MED_InnereAndacht_03_NeuAltErsetzen_TonKorr_LizenzKorr_16zu9.mpg	InnereAndacht.jpg
169	LyrischeWerke TodUndLeben	00:08:00	LES	31.08.2026 23:05:00	Lyrische Werke - Tod und Leben	Lesung von Gedichten zum Thema "Tod und Leben"	SNJ	False	False	False	False	False	False	False	DE_LES_LyrischeWerkeTodULeben__2608s08v1ogDE.mpg	LyrischeWerke.jpg
