id	RsmmID	Titel	Serie	Länge	Sendezeit	Titel_Sprache	Beschreibung_Sprache	Block	MO	DI	MI	DO	FR	SA	SO	Bild
1	47487	Pfingsten 2026	SON	01:30:00	15.06.2026 00:00:00	"Pentecost, the Speaking God - for the Life in All Being". 	The Core Community of the Lord for the Building of the Kingdom of Peace of the Christ of God welcomes you to an Original Christian Community Meeting		False	False	False	False	False	False	False	EN_Pfingsten2026.jpg
4	01967	TropfenLebens 	MED	00:24:00	15.06.2026 01:43:00	Drops of Life	Meditation - Drops of Life		False	False	False	False	False	False	False	1967_EN_TropfenLebens.jpg
7	28170	BodenlebenErde	FILM	00:53:30	15.06.2026 02:15:00	Make the Connection: Planet Earth + Meat	Make the Connection: Planet Earth + Meat		False	False	False	False	False	False	False	Bodenleben2.jpg
11	33676	Bergpredigt 02	LES	00:23:30	15.06.2026 03:17:30	The Sermon on the Mount of Jesus of Nazareth. Part 2	The Sermon on the Mount of Jesus of Nazareth. Part 2		False	False	False	False	False	False	False	Berg_EN-00.jpg
16	42884	Urlicht 01	MED	00:56:30	15.06.2026 03:50:30	The Primordial Light for All People. Develop the Self-Healing Forces. Heal Yourself with the Power of the Christ of God. Part 1: Activate the Primordial Light, the Power of the Christ of God, in Your Soul and in Your Body 	The Primordial Light for All People. Develop the Self-Healing Forces. Heal Yourself with the Power of the Christ of God. Part 1: Activate the Primordial Light, the Power of the Christ of God, in Your Soul and in Your Body 		False	False	False	False	False	False	False	EN_URLICHT.jpg
19	24279	DasIstMeinWort 26	LES	00:22:00	15.06.2026 04:56:30	"The Last Supper"	This is My Word - Reading Chap. 76 B "The Last Supper"		False	False	False	False	False	False	False	DIMW_EN-00.jpg
24	41287	FGE Rückmeldungen 02	FGE	00:20:30	15.06.2026 05:26:30	We Read... Are You Listening? Empathize, Experience... Young People on the Path to Christ (02)	We Read... Are You Listening? Empathize, Experience... Young People on the Path to Christ (02)		False	False	False	False	False	False	False	EN_FGERückmeldungen.jpg
36	20883	Medikurs1 06	MED	00:26:00	15.06.2026 06:00:00	My Soul Opens Like a Rose	Original Christian Meditation I (6): My Soul Opens Like a Rose		False	False	False	False	False	False	False	Medikurs.jpg
39	02342	IhreGedanken 16 1Mo x	GH	00:15:00	15.06.2026 06:32:00	Thoughts for the Day - Week 16 - Monday	Thoughts for the Day - Week 16 - Monday		False	False	False	False	False	False	False	Woche08GedankenTag.jpg
42	06538	Morgenmed. 3	MED	00:18:00	15.06.2026 06:51:00	The Light Is Like a Fragrant Rose	Morning Meditation 03: The Light Is Like a Fragrant Rose		False	False	False	False	False	False	False	ErlebeDieEinheit.jpg
45	42039	FGE VS Les 09 BotschaftAll	FGE	00:07:00	15.06.2026 07:10:30	We Are the Free Communities - Link and Be (9)	The Message from the All		False	False	False	False	False	False	False	EN_FGE-VS.jpg
49	32351	Sternstunden 18	MED	00:35:00	15.06.2026 07:28:00	Highlight Hours with Gabriele: The First and Fifth Commandment of God in the Light of Christ	Highlight Hours with Gabriele: The First and Fifth Commandment of God in the Light of Christ		False	False	False	False	False	False	False	10Gebote.jpg
60	34663	2KiZ- InkarnationSeele 2KiZ	LIOS	00:21:00	15.06.2026 08:14:30	The school for New Jerusalem for another time under the sign of the Christ of God, the love for God and neighbor	Liobani: The Incarnations of the Soul. 		False	False	False	False	False	False	False	Liobani2.jpg
62	40101	2KiZ-06 Erdgeist 2KiZ	LIOS	00:19:00	15.06.2026 08:36:00	Liobani: The Earth Spirits.	Liobani: The Earth Spirits. The school for New Jerusalem for another time under the sign of the Christ of God, the love for God and neighbor		False	False	False	False	False	False	False	LIO_Erdgeist.jpg
66	47454	GemeindeSlo Mai2026	SON	01:22:00	15.06.2026 09:00:00	My Sheep Know My Voice	Meeting of all God seekers in the Gathering Point in Slovenia, Together with the Core Community of the Lord for the Building of the Kingdom of Peace of the Christ of God, May 2026		False	False	False	False	False	False	False	EN_GemeindeSlowenien.jpg
69	40156	SoWieIhrGebt Neu	MED	00:32:00	15.06.2026 10:35:00	Meditation Prayer. Just As You Give, So Will It Be Given To You	Meditation Prayer. Just As You Give, So Will It Be Given To You		False	False	False	False	False	False	False	CH60MitChristusBeten.jpg
72	35499	Klassik Seele 62f_20	KONZ1	00:19:30	15.06.2026 11:15:00	Classics for the Soul. Santec Music Orchestra	Serenade Espagnole für Violoncello und Orchester in A-Dur von A. Glasunow, Arie der Norma vom V. Bellini, Andantino für Oboe und Streichorchester von C.D. von Dittersdorf (Juli 2017)		False	False	False	False	False	False	False	KlassikSeele.jpg
75	33892	Bergpredigt 03	LES	00:27:00	15.06.2026 11:40:00	The Sermon on the Mount of Jesus of Nazareth. Part 3	The Sermon on the Mount of Jesus of Nazareth. Part 3		False	False	False	False	False	False	False	Berg_EN-00.jpg
80	09337	InnererArzt 1	MED	00:39:00	15.06.2026 12:16:30	Is the Healing Force in Your Soul(1)	Meditation - The Inner Physician and Healer - Is the Healing Force in Your Soul(1)		False	False	False	False	False	False	False	Kristall.jpg
85	24601	DasIstMeinWort 27	LES	00:26:00	15.06.2026 13:12:00	This Is My Word – Reading: Chapter 71 -72 "The cleansing of the temple" and "Jesus' words of farewell" 	This Is My Word – Reading: Chapter 71 -72 "The cleansing of the temple" and "Jesus' words of farewell" 		False	False	False	False	False	False	False	DIMW_EN-00B.jpg
89	40720	Zellenstaat NEU	MED	00:26:00	15.06.2026 13:45:00	Meditation. The Cell State	Meditation. The Cell State		False	False	False	False	False	False	False	Zellenstaat.jpg
94	41584	FGE Rückmeldungen 03	FGE	00:16:00	15.06.2026 14:21:00	We Read... Are You Listening? Empathize, Experience... Young People on the Path to Christ (03)	We Read... Are You Listening? Empathize, Experience... Young People on the Path to Christ (03)		False	False	False	False	False	False	False	EN_FGERückmeldungen.jpg
96	43006	FGE Rückm GeschHeiltum	FGE	00:11:30	15.06.2026 14:39:00	The Gift from the Sanctum of God - Feedback	The Gift from the Sanctum of God - Feedback		False	False	False	False	False	False	False	EN_RueckmGeschHeiligum.jpg
107	20915	Medikurs1 09	MED	00:35:30	15.06.2026 15:00:00	The More I Devote Myself to the Divine Power of Life, the More Beautifully and Purely I Will Blossom	Original Christian Meditation I (9): The More I Devote Myself to the Divine Power of Life, the More Beautifully and Purely I Will Blossom		False	False	False	False	False	False	False	Medikurs.jpg
112	02344	IhreGedanken 16 4Do x	GH	00:12:00	15.06.2026 15:42:00	Thoughts for the Day - Week 16 - Thursday	Thoughts for the Day - Week 16 - Thursday		False	False	False	False	False	False	False	Woche08GedankenTag.jpg
119	29014	InnereAndacht 08	MED	00:51:00	15.06.2026 16:01:30	The All-Principle – Sending and Receiving	Inner Devotional 8 - The All-Principle – Sending and Receiving		False	False	False	False	False	False	False	InnereAndacht_EN_Neu.jpg
123	27216	RufGabriele 6 DerRuf	SON	00:13:00	15.06.2026 17:01:00	The Call of the Christ of God	The Call of Gabriele 06 - The Call of the Christ of God		False	False	False	False	False	False	False	Ruf-6.jpg
127	35141	3KiZ-03 TagFreund	LIOS	00:17:30	15.06.2026 17:21:30	Liobani: The Day, Your Friend - the Energy of the Day. 	The school for New Jerusalem for another time under the sign of the Christ of God, the love for God and neighbor		False	False	False	False	False	False	False	LiobaniSchule_EN.jpg
135	25591	KuckuckRuft TB	GEKK	00:11:30	15.06.2026 17:44:00	Children's Stories - Cuckoo Calls You	Children's Stories - Cuckoo Calls You		False	False	False	False	False	False	False	DerKuckuck2.jpg
138	40740	Männerwelt Teil 1	SON	01:14:00	15.06.2026 18:00:00	The Men's World – Yesterday and Today. Part 1	The Men's World – Yesterday and Today. Part 1		False	False	False	False	False	False	False	VatikanScheutLicht.jpg
142	23202	Gottesliebe	MED	00:27:30	15.06.2026 19:26:00	The Love for God and Neighbor Heals	Meditation - The Love for God and Neighbor Heals		False	False	False	False	False	False	False	Gottesliebe.jpg
145	29163	Klassik Seele 47d_16	KONZ1	00:16:00	15.06.2026 19:59:00	Classics for the Soul. Santec Music Orchestra	Classics for the Soul - Andantino grazioso and Rondo Allegro from the Cello Concerto No. 9 by Luigi Boccherini, Nightingale Serenade by Enrico Toselli (May 2015)		False	False	False	False	False	False	False	KlassikSeele.jpg
146	38103	SchuleLeben 23	DWS	00:21:30	15.06.2026 20:15:00	The True School Is Life. Teaching Hours from the Divine Wisdom: "The Law of Correspondence"   	The Law of Correspondence		False	False	False	False	False	False	False	DWS.jpg
150	26160	InnererWeg 06	GR-IW	00:25:00	15.06.2026 20:44:30	"Body Rhythm amd Training of the Organ of Sight"	The Inner Path to the Cosmic Consciousness. Level of Order - Part 6: "Body Rhythm amd Training of the Organ of Sight"		False	False	False	False	False	False	False	IW_EN.jpg
153	41856	GottGegwLicht NEU	MED	00:25:30	15.06.2026 21:14:30	Meditation. God Is Present Light	Meditation. God Is Present Light		False	False	False	False	False	False	False	EN_MED_GottGegLicht.jpg
157	32532	ImGespräch 6	GR	00:50:00	15.06.2026 21:50:30	In Conversation with Prof. Peter Berthold, Ornithologist	In Conversation with Prof. Peter Berthold, Ornithologist		False	False	False	False	False	False	False	GesprBerthold.jpg
161	22508	Volksküche 90 F	KOCH	00:12:30	15.06.2026 22:50:00	Asparagus with Bishops Weed Lentils and  Oxalis Ice-cream	The Vegan Vegetarian Folk's Kitchen: Asparagus with Bishops Weed Lentils and  Oxalis Ice-cream		False	False	False	False	False	False	False	Volkskueche_3.jpg
164	23397	Volksküche 91 F	KOCH	00:11:00	15.06.2026 23:07:00	Asparagus Tartar	The Vegan Vegetarian Folk's Kitchen: Asparagus Tartar		False	False	False	False	False	False	False	Volkskueche_4.jpg
172	41652	FGE VerbindeSei 02	FGE	00:10:00	15.06.2026 23:22:30	We Are the Free Communities - Link and Be (2)	His Word – Eternal Presence		False	False	False	False	False	False	False	EN_FGE-VS.jpg
174	43871	FGE Rückmeldungen 04	FGE	00:18:30	15.06.2026 23:34:30	We Read... Are You Listening? Empathize, Experience... Young People on the Path to Christ (04)	We Read... Are You Listening? Empathize, Experience... Young People on the Path to Christ (04)		False	False	False	False	False	False	False	LiobaniJugend.jpg
183	31320	InnereAndacht 24	MED	00:57:30	16.06.2026 00:00:00	Inner Devotional 24 - God Is the Breath of the Soul	Inner Devotional 24 - God Is the Breath of the Soul		False	False	False	False	False	False	False	BotschaftAusDemAll 03.jpg
187	33892	Bergpredigt 03	LES	00:27:00	16.06.2026 01:05:00	The Sermon on the Mount of Jesus of Nazareth. Part 3	The Sermon on the Mount of Jesus of Nazareth. Part 3		False	False	False	False	False	False	False	Berg_EN-00.jpg
190	29966	InnereAndacht 16	MED	00:54:00	16.06.2026 01:41:30	Inner Devotional 16 - The Silence Is the Real Life	Inner Devotional 16 - The Silence Is the Real Life		False	False	False	False	False	False	False	InnereAndacht_00.jpg
194	24044	DasIstMeinWort 19	LES	00:12:30	16.06.2026 02:45:00	"Jesus Feeds a Thousand People and Heals on the Sabbath"	This Is My Word - Reading Chap. 48 "Jesus Feeds a Thousand People and Heals on the Sabbath"		False	False	False	False	False	False	False	DIMW_EN-00.jpg
