id	RsmmID	Titel	Serie	Länge	Sendezeit	Titel_Sprache	Beschreibung_Sprache	Block	MO	DI	MI	DO	FR	SA	SO	Bild
1	47908	LebenDesSommers	MED	00:23:30	14.09.2026 00:00:00	La vita dell'estate - la maturità - la vita in noi	Meditazione data da Gabriele, la profetessa e messaggera del Regno Eterno il 24 giugno 1988	Ohne block	False	False	False	False	False	False	False	47908_IT_MED_DasLebenDesSommers.jpg
2	42217	FGE VS Les 16 LassNichtLos	FGE	00:06:30	14.09.2026 00:23:30	Siamo le Comunità Libere - collega e sii (16)	Lasciati guidare!	Ohne block	False	False	False	False	False	False	False	IT_FGE-VS.jpg
3	48472	Gemeinde Sept2026	SON	01:50:00	14.09.2026 00:30:00	Comunità del Cristianesimo Originario, tenuto ad Altfeld, in Germania. 	La Comunità Capostipite del Signore per edificare il Regno della Pace del Cristo-Dio, nel marzo 2026, nell’anno 3 dell’epoca messianica e sophianica	Ohne block	False	False	False	False	False	False	False	LilieKerzenGemeindeSept26.jpg
7	08208	Zuversicht 1	MED	00:11:00	14.09.2026 02:27:00	Meditazione sulla fiducia (1)	Meditazione sulla fiducia (1)	Ohne block	False	False	False	False	False	False	False	BabyMutterHände.jpg
8	42295	SchuleLeben 25	DWS	00:36:30	14.09.2026 02:38:00	La vera scuola è la vita. Insegnamenti dati dalla Sapienza divina 	Cristo, il Riformatore interiore	Ohne block	False	False	False	False	False	False	False	IT_DWS25ChristusInnererReformer.jpg
12	41270	DerGuteHirte	MED	00:37:00	14.09.2026 03:23:30	Meditazione contemplativa. Il buon Pastore, lo Spirito del Cristo-Dio in ogni anima 	Meditazione contemplativa. Il buon Pastore, lo Spirito del Cristo-Dio in ogni anima 	Ohne block	False	False	False	False	False	False	False	HirteUndSchafen2.jpg
14	48027	IT WerWeltAnschaut	SON	00:11:00	14.09.2026 04:03:30	Chi osserva questo mondo, cambia se stesso	Chi osserva questo mondo, cambia se stesso	Ohne block	False	False	False	False	False	False	False	48027_IT_SON_WerWeltAnschaut__2607s14v1ogIT.jpg
15	43086	SchuleLeben 31	DWS	00:27:30	14.09.2026 04:14:30	La vera scuola è la vita. Insegnamenti dati dalla Sapienza divina 	La psicologia divina	Ohne block	False	False	False	False	False	False	False	TatGalube.jpg
17	41383	LiebtUntereinander	MED	00:28:00	14.09.2026 04:44:30	Meditazione contemplativa. Amatevi gli uni gli altri e tutte le creature di Dio	Meditazione contemplativa. Amatevi gli uni gli altri e tutte le creature di Dio	Ohne block	False	False	False	False	False	False	False	IT_CH48LiebtUntereinander.jpg
21	30450	Gemeinschaften 10	FGE	00:23:30	14.09.2026 05:21:00	Le comunità libere sotto il segno del Giglio -  Il richiamo dell'anima che vuole essere liberata	Le comunità libere sotto il segno del Giglio -  Il richiamo dell'anima che vuole essere liberata	Ohne block	False	False	False	False	False	False	False	FGE_VoegelImAufbruch.jpg
22	48472	Gemeinde Sept2026	SON	01:50:00	14.09.2026 05:44:30	Comunità del Cristianesimo Originario, tenuto ad Altfeld, in Germania. 	La Comunità Capostipite del Signore per edificare il Regno della Pace del Cristo-Dio, nel marzo 2026, nell’anno 3 dell’epoca messianica e sophianica	Ohne block	False	False	False	False	False	False	False	LilieKerzenGemeindeSept26.jpg
