id	RsmmID	Titel	Serie	Länge	Sendezeit	Titel_Sprache	Beschreibung_Sprache	Block	MO	DI	MI	DO	FR	SA	SO	Bild
1	47493	Pfingsten 2026	SON	01:30:00	01.06.2026 00:00:00	"Pentecostes, o Deus que fala - para a vida em todo o Ser".  	A Comunidade Central do Senhor para a edificação do Reino da Paz do Cristo de Deus convida para o Encontro da Comunidade Cristã Original		False	False	False	False	False	False	False	PT_Pfingsten26.jpg
4	25859	Klassik Seele 42a_13	KONZ1	00:13:00	01.06.2026 01:34:00	Classics for the Soul. Santec Music Orchestra	Classics for the Soul - J. S. Bach: Allegro from Violin Concerto in E major (BWV 1042), L. Boccherini: Andantino gracioso from Cello Concerto No. 9 in B flat major		False	False	False	False	False	False	False	KlassikSeele.jpg
12	32249	DasLilienzeitalter 01 HoheZeit	FGE	00:54:30	01.06.2026 01:55:30	A Idade do Lírio. O Elevado Tempo - Depois do Tempo. 1ª Parte	A Idade do Lírio. O Elevado Tempo - Depois do Tempo. 1ª Parte		False	False	False	False	False	False	False	Lilie1.jpg
14	35946	SchuleLeben 16	DWS	00:28:30	01.06.2026 02:52:30	A Verdadeira Escola é a Vida. Horas de Ensino a partir da sabedoria Divina: "O Aprendizado Correto Eleva a Nossa Existência a um Ganho na Vida"	A Verdadeira Escola é a Vida. Horas de Ensino a partir da sabedoria Divina: "O Aprendizado Correto Eleva a Nossa Existência a um Ganho na Vida"		False	False	False	False	False	False	False	DWSLebensgewinn.jpg
17	40093	LebenAllLiebe	MED	00:28:00	01.06.2026 03:28:00	Meditação de Oração. A Vida é o Todo-Amor Cósmico da Unidade	Meditação de Oração. A Vida é o Todo-Amor Cósmico da Unidade		False	False	False	False	False	False	False	PT_CH264LebeAllLiebe.jpg
20	41009	Zelt GottHeilt 03 WEB	LES-ZELT	00:24:30	01.06.2026 04:00:00	Uma leitura do livro "Deus Cura" de Gabriele. Parte 3. Desde o Arco da Aliança do Espírito Livre, desde a Tenda de Deus, a palavra eterna vem diretamente a nós	Uma leitura do livro "Deus Cura" de Gabriele. Parte 3. Desde o Arco da Aliança do Espírito Livre, desde a Tenda de Deus, a palavra eterna vem diretamente a nós		False	False	False	False	False	False	False	GottHeilt.jpg
22	41010	Zelt GottHeilt 04 WEB	LES-ZELT	00:24:30	01.06.2026 04:26:30	Uma leitura do livro "Deus Cura" de Gabriele. Parte 4. Desde o Arco da Aliança do Espírito Livre, desde a Tenda de Deus, a palavra eterna vem diretamente a nós	Uma leitura do livro "Deus Cura" de Gabriele. Parte 4. Desde o Arco da Aliança do Espírito Livre, desde a Tenda de Deus, a palavra eterna vem diretamente a nós		False	False	False	False	False	False	False	GottHeilt.jpg
24	29135	Gemeinschaften 09	FGE	00:28:30	01.06.2026 04:53:00	As Comunidades Livres Sob o Signo do Lírio. Tema:  Nos Abrimos a Nossa Herança Divina	As Comunidades Livres Sob o Signo do Lírio. Tema:  Nos Abrimos a Nossa Herança Divina		False	False	False	False	False	False	False	FGE_Menschen.jpg
29	40069	BändeEwigesReich 01 WEB	LES	00:42:00	01.06.2026 05:24:30	A partir do Reino Eterno. "Eu Faço Tudo Novo". Dado no ano 1991 e revelado a través da emissária do Reino Eterno, Gabriele.	A partir do Reino Eterno. "Eu Faço Tudo Novo". Dado no ano 1991 e revelado a través da emissária do Reino Eterno, Gabriele.		False	False	False	False	False	False	False	ChristusErlösung.jpg
31	41662	FGE VerbindeSei 02	FGE	00:10:00	01.06.2026 06:10:30	Nós somos as Comunidades Livres - Una e seja (2)	Sua Palavra – Presença Eterna		False	False	False	False	False	False	False	PT_FGE-VS.jpg
32	36580	Klassik Seele 59e_15	KONZ1	00:15:00	01.06.2026 06:20:30	Classics for the Soul. Santec Music Orchestra	Waltz from Serenade for Strings op. 48 by P.I. Tchaikovsky, Après un rêve (After a Dream) by G. Faure, Allegretto from Wind Quintet op. 56/2 by F. Danzi (Feb. 2017)		False	False	False	False	False	False	False	Orchestra.jpg
33	14084	Zuversicht 4	MED	00:21:00	01.06.2026 06:35:30	Confiança: Se queremos mudar o mundo, temos que mudar a nós mesmos	Confiança: Se queremos mudar o mundo, temos que mudar a nós mesmos		False	False	False	False	False	False	False	Zuversicht.jpg
35	36034	SchuleLeben 15	DWS	00:28:00	01.06.2026 06:59:30	A Verdadeira Escola é a Vida. Horas de Ensino a partir da sabedoria Divina: "O que é Liberdade? Como a Tiramos de Nós Mesmos? E Como Podemos Recuperá-la?"	A Verdadeira Escola é a Vida. Horas de Ensino a partir da sabedoria Divina: "O que é Liberdade? Como a Tiramos de Nós Mesmos? E Como Podemos Recuperá-la?"		False	False	False	False	False	False	False	Lilienzeitalter.jpg
37	34151	Bergpredigt 10	LES	00:20:30	01.06.2026 07:31:00	O Sermão da Montanha de Jesus de Nazaré. Parte 10	O Sermão da Montanha de Jesus de Nazaré. Parte 10		False	False	False	False	False	False	False	Berg_PT-00.jpg
40	23725	DasIstMeinWort 09	LES	00:27:00	01.06.2026 07:55:00	Esta é a Minha Palavra, A e Ω. Capítulo 6: "Infância e Juventude de Jesus"	Esta é a Minha Palavra, A e Ω. Capítulo 6: "Infância e Juventude de Jesus"		False	False	False	False	False	False	False	PT_DasIStMeinWort2.jpg
43	47493	Pfingsten 2026	SON	01:30:00	01.06.2026 08:27:00	"Pentecostes, o Deus que fala - para a vida em todo o Ser".  	A Comunidade Central do Senhor para a edificação do Reino da Paz do Cristo de Deus convida para o Encontro da Comunidade Cristã Original		False	False	False	False	False	False	False	PT_Pfingsten26.jpg
